category_code,category_name_en,category_name_zh,submodule_code,submodule_name_en,submodule_name_zh,primary_parent_code,primary_parent_name,relationship_status,issue_type,relationship_reason,possible_related_paths,recommended_action,source_file_path,notes
"00","Generic programmes and qualifications","通用课程与资格","000","Generic programmes and qualifications not further defined","","00","Generic programmes and qualifications","clear","too_broad","Nested once under category 00; title is an administrative catch-all rather than a concrete learning object.","","Keep primary parent 00; use only when the field is truly generic or unspecified; do not treat as a project pack.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"00","Generic programmes and qualifications","通用课程与资格","001","Basic programmes and qualifications","","00","Generic programmes and qualifications","clear","none","Nested once under category 00 and semantic scope fits the generic programmes parent.","","Confirm primary parent 00; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"00","Generic programmes and qualifications","通用课程与资格","002","Literacy and numeracy","","00","Generic programmes and qualifications","clear","none","Nested once under category 00 and represents foundational generic skills rather than a subject-specific education field.","","Confirm primary parent 00; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"00","Generic programmes and qualifications","通用课程与资格","003","Personal skills and development","","00","Generic programmes and qualifications","clear","cross-disciplinary","Nested once under category 00; personal development can connect to education, behavioural science, business, and welfare, but its generic-skills anchor remains 00.","01 Education; 03 Social Sciences, Journalism and Information; 04 Business, Administration and Law; 09 Health and Welfare","Confirm primary parent 00; model applied variants through related_paths instead of extra parents.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"00","Generic programmes and qualifications","通用课程与资格","009","Generic programmes and qualifications not elsewhere classified","","00","Generic programmes and qualifications","clear","too_broad","Nested once under category 00; not elsewhere classified is an administrative residual bucket.","","Keep primary parent 00; use only when no more specific existing submodule applies.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"01","Education","教育","011","Education","","01","Education","clear","none","Nested once under category 01 and directly matches the education parent.","","Confirm primary parent 01; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"01","Education","教育","018","Inter-disciplinary programmes and qualifications involving education","","01","Education","clear","cross-disciplinary","Nested once under category 01; label explicitly covers interdisciplinary content involving education.","03 Social Sciences, Journalism and Information; 04 Business, Administration and Law; 09 Health and Welfare","Confirm primary parent 01; require related_paths for the other participating discipline in each content item.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"02","Arts and Humanities","艺术与人文","020","Arts and humanities not further defined","","02","Arts and Humanities","clear","too_broad","Nested once under category 02; not further defined is an administrative category-level placeholder.","","Keep primary parent 02; prefer 021, 022, or 023 when the content object is known.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"02","Arts and Humanities","艺术与人文","021","Arts","","02","Arts and Humanities","clear","none","Nested once under category 02 and represents the arts branch of arts and humanities.","","Confirm primary parent 02; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
"02","Arts and Humanities","艺术与人文","022","Humanities (except languages)","","02","Arts and Humanities","clear","none","Nested once under category 02 and represents humanities other than languages.","","Confirm primary parent 02; no taxonomy change.","/Users/leoyang/Documents/mapkai/script.js","Group has no chineseTitle in source; public/script.js mirrors the same taxonomy data."
