batch_id	category_code	field_code	field_title_en	field_title_zh	slot	story_id	concept_en	concept_zh	mode	story_anchor_zh	status
batch-001	00	0011	Basic programmes and qualifications	基础课程与资格	1	0011-prerequisite-structure	Prerequisite structure	先备知识结构	concept-fable	跳过绳结基础课的年轻领航员	integrated
batch-001	00	0011	Basic programmes and qualifications	基础课程与资格	2	0011-mastery-learning	Mastery learning	掌握学习	concept-fable	按钟声换工位却不断积错的钟表学校	integrated
batch-001	00	0011	Basic programmes and qualifications	基础课程与资格	3	0011-transfer-of-learning	Transfer of learning	学习迁移	concept-fable	在模型河上满分却过不了真河的造桥学徒	integrated
batch-001	00	0021	Literacy and numeracy	读写与计算能力	1	0021-orthographic-mapping	Orthographic mapping	正字法映射	mechanism-fable	总靠猜招牌的送信人开始听见字里的声音	integrated
batch-001	00	0021	Literacy and numeracy	读写与计算能力	2	0021-number-sense	Number sense	数感	mechanism-fable	不用逐颗数也能发现粮袋数目不对的仓库女孩	integrated
batch-001	00	0021	Literacy and numeracy	读写与计算能力	3	0021-functional-literacy	Functional literacy	功能性读写能力	concept-fable	会背所有告示却错过渡船规则的抄写员	integrated
batch-001	00	0031	Personal skills and development	个人技能与发展	1	0031-metacognitive-regulation	Metacognitive regulation	元认知调节	concept-fable	在镜子图书馆记录自己如何迷路的旅人	integrated
batch-001	00	0031	Personal skills and development	个人技能与发展	2	0031-self-efficacy	Self-efficacy	自我效能感	concept-fable	被安排一连串刚好够难任务的塔楼学徒	integrated
batch-001	00	0031	Personal skills and development	个人技能与发展	3	0031-deliberate-practice	Deliberate practice	刻意练习	concept-fable	每天只拉最难四小节的提琴手	integrated
batch-001	01	0111	Education science	教育科学	1	0111-constructivist-learning	Constructivist learning	建构主义学习	concept-fable	用自己的错误水渠重画河流的学生	integrated
batch-001	01	0111	Education science	教育科学	2	0111-formative-assessment	Formative assessment	形成性评价	concept-fable	烧窑前在湿陶上留下修正记号的老师	integrated
batch-001	01	0111	Education science	教育科学	3	0111-cognitive-load	Cognitive load	认知负荷	mechanism-fable	同时背七道命令而忘掉城门的信使	integrated
batch-001	01	0112	Training for pre-school teachers	学前教师培养	1	0112-play-based-learning	Play-based learning	游戏本位学习	concept-fable	孩子们自发开出的石子市场	integrated
batch-001	01	0112	Training for pre-school teachers	学前教师培养	2	0112-joint-attention	Joint attention	共同注意	concept-fable	老师顺着孩子手指第一次看见窗外的鸟巢	integrated
batch-001	01	0112	Training for pre-school teachers	学前教师培养	3	0112-emergent-curriculum	Emergent curriculum	生成课程	concept-fable	一场雨把既定课程带进水洼和排水沟	integrated
batch-002	01	0113	Teacher training without subject specialisation	非学科专项教师培养	1	0113-teacher-noticing	Teacher noticing	教师察觉	lens-fable	总答对的孩子在草稿边缘反复画同一种错误	integrated
batch-002	01	0113	Teacher training without subject specialisation	非学科专项教师培养	2	0113-inclusive-pedagogy	Inclusive pedagogy	全纳教学法	concept-fable	只有一扇标准门的教室开始改造入口	integrated
batch-002	01	0113	Teacher training without subject specialisation	非学科专项教师培养	3	0113-classroom-routines	Classroom routines	课堂常规	concept-fable	每次过渡都丢失十分钟的多科教室	integrated
batch-002	01	0114	Teacher training with subject specialisation	学科专项教师培养	1	0114-pedagogical-content-knowledge	Pedagogical content knowledge	学科教学知识	concept-fable	会观星却教不会孩子看影子的天文学家	integrated
batch-002	01	0114	Teacher training with subject specialisation	学科专项教师培养	2	0114-misconception-diagnosis	Misconception diagnosis	错误概念诊断	lens-fable	学生每次都算对却坚信更重的石头先落地	integrated
batch-002	01	0114	Teacher training with subject specialisation	学科专项教师培养	3	0114-disciplinary-literacy	Disciplinary literacy	学科读写能力	concept-fable	同一页文字在史官和药剂师手里变成不同证据	integrated
